dcid,date,SdrAllocationsSdr
country/MAR,1984-09-30,85689000.0
country/MMR,1984-09-30,43474000.0
country/NPL,1984-09-30,8104800.0
country/NLD,1984-09-30,530340000.0
country/NZL,1984-09-30,141322000.0
country/NIC,1984-09-30,19483000.0
country/NER,1984-09-30,9409000.0
country/NGA,1984-09-30,157155000.0
country/NOR,1984-09-30,167770000.0
country/OMN,1984-09-30,6262000.0
country/PAK,1984-09-30,169989000.0
country/PAN,1984-09-30,26322000.0
country/PNG,1984-09-30,9300000.0
country/PRY,1984-09-30,13697000.0
country/PER,1984-09-30,91319000.0
country/PHL,1984-09-30,116595000.0
country/PRT,1984-09-30,53320000.0
country/QAT,1984-09-30,12821600.0
country/ROU,1984-09-30,75950000.0
country/RWA,1984-09-30,13697000.0
country/WSM,1984-09-30,1142000.0
country/STP,1984-09-30,620000.0
country/SAU,1984-09-30,195526800.0
country/SEN,1984-09-30,24462000.0
country/SYC,1984-09-30,406400.0
country/SLE,1984-09-30,17455000.0
country/SGP,1984-09-30,16475200.0
country/SLB,1984-09-30,654400.0
country/SOM,1984-09-30,13697000.0
country/ZAF,1984-09-30,220360000.0
country/ESP,1984-09-30,298805000.0
country/LKA,1984-09-30,70868000.0
country/LCA,1984-09-30,741600.0
country/VCT,1984-09-30,353600.0
country/SDN,1984-09-30,52192000.0
country/SUR,1984-09-30,7750000.0
country/SWE,1984-09-30,246525000.0
country/SYR,1984-09-30,36564000.0
country/TZA,1984-09-30,31372000.0
country/THA,1984-09-30,84652000.0
country/TGO,1984-09-30,10975000.0
country/TTO,1984-09-30,46231000.0
country/TUN,1984-09-30,34243000.0
country/TUR,1984-09-30,112307000.0
country/UGA,1984-09-30,29396000.0
country/ARE,1984-09-30,38736800.0
country/GBR,1984-09-30,1913070000.0
country/USA,1984-09-30,4899530000.0
country/URY,1984-09-30,49977000.0
country/VUT,1984-09-30,0.0
country/VEN,1984-09-30,316890000.0
country/VNM,1984-09-30,47658000.0
country/YUG,1984-09-30,155161000.0
country/ZMB,1984-09-30,68298000.0
country/ZWE,1984-09-30,10200000.0
Earth,1984-09-30,21433330200.0
country/AFG,1987-10-31,26703000.0
country/DZA,1987-10-31,128640000.0
country/ATG,1987-10-31,0.0
