dcid,year,debtOutstandingAndDisbursedPPGCurrentUSD
country/BWA,1981,151540360.1
country/BWA,1992,600044444.3
country/BWA,1993,656225023.7
country/BWA,1994,689168910.1
country/BWA,1996,620518347.7
country/BWA,2000,437755242.7
country/BWA,2003,484649106.1
country/BWA,2004,488026722.2
country/BWA,2016,1670366310.2
country/BWA,2021,1466452278.0
country/BWA,1987,539146978.9
country/BWA,1988,528845347.5
country/BWA,1990,547143979.7
country/BWA,1997,534727348.0
country/BWA,1999,484498471.4
country/BWA,2008,396793202.7
country/BWA,2012,1942415500.7
country/BWA,2014,1917185781.9
country/BWA,2017,1551795909.3
country/BWA,2019,1334338113.7
country/BRA,1973,8114945243.1
country/BRA,1977,23493399632.3
country/BRA,1979,37288368959.0
country/BRA,1981,46770175735.5
country/BRA,1983,60603760812.4
country/BRA,1991,85950307951.4
country/BRA,1993,92057533816.6
country/BRA,2003,100064364208.9
country/BRA,2007,79869902875.0
country/BRA,2009,87513195186.8
country/BRA,2016,174682574897.5
country/BRA,1975,14882558034.8
country/BRA,1978,31802650621.5
country/BRA,1980,41839110578.5
country/BRA,1987,88692776420.9
country/BRA,1990,88105161011.2
country/BRA,1994,95840926759.6
country/BRA,1995,98763857925.5
country/BRA,1997,88266784835.1
country/BRA,1999,93029551709.0
country/BRA,2001,96618417433.9
country/BRA,2002,99686853023.3
country/BRA,2006,84551656462.0
country/BRA,2010,97485566992.5
country/BRA,2013,136526966244.0
country/BRA,2015,172887433044.3
country/BRA,2020,194266070123.2
country/BRA,1970,3563841591.8
country/BRA,1982,53271501811.2
country/BRA,1984,69857773423.2
country/BRA,1985,72998962764.9
country/BRA,1986,81073390256.7
country/BRA,1988,92700054835.0
country/BRA,1989,88486466771.6
country/BRA,1992,91467585844.6
country/BRA,2000,96621779221.7
country/BRA,2004,97455861807.8
country/BRA,2005,94354180319.0
country/BRA,2014,174931295064.9
country/BRA,2021,200521948421.8
country/BRA,1971,4376151343.7
country/BRA,1972,6209808907.8
country/BRA,1974,11580997097.7
country/BRA,1976,18623475423.8
country/BRA,1996,96829028507.9
country/BRA,1998,99176483490.9
country/BRA,2008,79918497337.9
country/BRA,2011,94712068704.8
country/BRA,2012,116646485320.1
country/BRA,2017,181160603497.2
country/BRA,2018,190193210393.1
country/BRA,2019,193781501832.8
country/BGR,1981,772737948.0
country/BGR,1987,7914581747.0
country/BGR,1991,9761095171.3
country/BGR,1996,8223003009.2
country/BGR,2006,5146625119.5
country/BGR,2009,5080267823.3
country/BGR,2012,5857394441.1
country/BGR,2013,4726119816.8
country/BGR,2014,5901794588.3
country/BGR,2016,11050212745.1
country/BGR,2017,11630326279.8
country/BGR,2018,11505915002.9
country/BGR,1982,1313089665.2
country/BGR,1983,1738593873.0
country/BGR,1985,3801537192.7
country/BGR,1986,5806004143.2
country/BGR,1989,9283085437.7
country/BGR,1994,8451877481.9
country/BGR,1995,8807881748.1
country/BGR,2003,7676174559.2
country/BGR,2008,4832292826.1
country/BGR,2019,11186154454.1
country/BGR,2020,15486322099.9
country/BGR,2021,15519249619.9
country/BGR,1984,2583927136.9
country/BGR,1988,8314895641.4
country/BGR,1990,9834102849.1
country/BGR,1992,9654698560.3
country/BGR,1993,9693333621.8
country/BGR,1999,7727396757.0
country/BGR,2004,7413676777.5
country/BGR,2007,5267870451.1
country/BGR,1997,7736814535.3
country/BGR,1998,7972776454.2
country/BGR,2000,7671348637.3
country/BGR,2001,7386636773.9
country/BGR,2002,7479869165.5
country/BGR,2005,5075162319.4
country/BGR,2010,4844956908.8
country/BGR,2011,4676836687.8
country/BGR,2015,8781256072.0
country/BFA,1973,31067227.5
country/BFA,1976,85306252.0
country/BFA,1978,179146283.6
country/BFA,1982,307029883.7
country/BFA,1984,369256869.1
country/BFA,1986,576716543.0
country/BFA,1990,749566804.9
country/BFA,1995,1143325281.2
country/BFA,1998,1298834761.0
country/BFA,1999,1371243390.6
country/BFA,2001,1324208055.5
country/BFA,2002,1414004956.4
country/BFA,2003,1605073795.0
country/BFA,2008,1516989556.1
country/BFA,2012,2282529601.2
country/BFA,2013,2327931077.4
country/BFA,2020,4019605908.2
country/BFA,1970,20789505.9
country/BFA,1972,20015915.3
country/BFA,1975,62537911.1
country/BFA,1985,456166856.7
country/BFA,1989,648150964.3
country/BFA,1992,978860621.5
country/BFA,1994,1046309728.0
country/BFA,2000,1237620632.3
country/BFA,2005,1872133149.0
country/BFA,2011,2104268099.6
country/BFA,2015,2382802029.8
country/BFA,2021,4328755869.9
country/BFA,1977,134283149.6
country/BFA,1979,246230060.8
country/BFA,1980,280711178.4
country/BFA,1981,279681119.5
country/BFA,1987,744114403.2
country/BFA,1991,882637541.1
country/BFA,1993,1068209465.3
country/BFA,1996,1166830714.3
country/BFA,2006,1004777837.3
country/BFA,2014,2314076557.8
country/BFA,2016,2570350404.2
country/BFA,2018,3041489067.1
country/BFA,2019,3371783750.1
country/BFA,1971,23598002.3
country/BFA,1974,47354443.4
country/BFA,1983,358082422.9
country/BFA,1988,767369530.6
country/BFA,1997,1149510076.5
country/BFA,2004,1791114464.3
country/BFA,2007,1269493328.6
country/BFA,2009,1737330153.8
country/BFA,2010,1960461925.0
country/BFA,2017,2873096677.6
country/BDI,1976,20959869.9
country/BDI,1984,319942819.9
country/BDI,1985,408967407.7
country/BDI,1986,524246436.7
country/BDI,1988,755551588.1
country/BDI,1990,850948296.7
country/BDI,1994,1066115552.8
country/BDI,1996,1084891764.8
country/BDI,2003,1251824049.8
country/BDI,2010,381817130.4
country/BDI,2011,363240037.6
country/BDI,2016,408860131.1
country/BDI,2021,566205358.1
country/BDI,1971,7830861.0
country/BDI,1973,7780758.4
country/BDI,1982,180560678.0
country/BDI,1983,273948583.4
country/BDI,1992,951209642.6
country/BDI,1993,1002213475.5
country/BDI,2007,1276072170.3
country/BDI,2009,393545090.3
country/BDI,2014,403553416.5
country/BDI,2018,418358830.2
country/BDI,1970,7300400.9
country/BDI,1972,6895385.6
country/BDI,1975,17973869.7
country/BDI,1978,59420485.3
country/BDI,1979,92716899.4
country/BDI,1980,118029697.9
country/BDI,1987,711720213.0
country/BDI,1989,832270827.5
country/BDI,1991,901246702.3
country/BDI,2001,985499684.2
country/BDI,2002,1104166706.5
country/BDI,2004,1273100721.0
country/BDI,2005,1176083859.0
country/BDI,2008,1234296833.5
country/BDI,2015,408115720.8
country/BDI,2017,418478499.3
country/BDI,2019,472752278.2
country/BDI,1974,9437482.0
country/BDI,1977,38270396.8
country/BDI,1981,135901245.5
country/BDI,1995,1099254965.8
country/BDI,1997,1025626040.4
country/BDI,1998,1082065038.7
country/BDI,1999,1053137542.5
country/BDI,2000,1036016292.8
country/BDI,2006,1230938177.1
country/BDI,2012,411360076.2
country/BDI,2013,398129618.4
country/BDI,2020,524485932.3
country/CPV,1989,123606668.9
country/CPV,1998,241245026.2
country/CPV,2004,452618676.5
country/CPV,2005,463306665.9
country/CPV,2007,564854014.2
country/CPV,2017,1776912425.9
country/CPV,2019,1808484670.5
country/CPV,1983,71694378.4
country/CPV,1987,119133293.6
country/CPV,1990,129104576.6
country/CPV,1994,166142676.1
country/CPV,2000,314987566.1
country/CPV,2008,611383796.3
country/CPV,2009,697711573.9
country/CPV,2011,1021269244.4
country/CPV,2012,1231061351.8
country/CPV,2013,1477009611.4
country/CPV,2014,1537031524.7
country/CPV,2020,2024115322.3
country/CPV,1981,39370101.9
country/CPV,1985,93895968.8
country/CPV,1986,106430830.0
country/CPV,1991,129530990.0
country/CPV,1995,184899804.7
country/CPV,2001,341256876.3
country/CPV,2002,380584683.0
country/CPV,2010,861910767.9
country/CPV,2018,1754699609.8
country/CPV,1982,59004887.4
country/CPV,1984,76251079.2
country/CPV,1988,119836332.9
country/CPV,1992,135988629.8
country/CPV,1993,140614318.2
country/CPV,1996,196709703.1
country/CPV,1997,199573453.7
country/CPV,1999,308449740.9
country/CPV,2003,431385788.8
country/CPV,2006,509521549.2
country/CPV,2015,1537479331.3
country/CPV,2016,1539407377.6
country/CPV,2021,1981974882.0
country/KHM,1981,163469000.0
country/KHM,1982,163469000.0
country/KHM,1984,163469000.0
country/KHM,1988,163469000.0
country/KHM,1989,204411603.2
country/KHM,1992,1630553706.1
country/KHM,1998,1934401297.3
country/KHM,2000,2014851808.2
country/KHM,2006,3010106213.6
country/KHM,2007,2224116696.1
country/KHM,2008,2543565372.1
country/KHM,2014,5253110726.4
country/KHM,1990,208523153.1
country/KHM,1995,1782292392.5
country/KHM,1999,1972787895.9
country/KHM,2005,2831336467.0
country/KHM,2010,3059969249.8
country/KHM,2016,5831429078.6
country/KHM,2017,6576770729.4
country/KHM,2021,9451677502.7
country/KHM,1986,163469000.0
country/KHM,1991,1639083999.0
country/KHM,1994,1699336354.8
country/KHM,2001,2079577683.5
country/KHM,2009,2747626610.5
country/KHM,2013,4814475808.0
country/KHM,2018,6994457529.2
country/KHM,1983,163469000.0
country/KHM,1985,163469000.0
country/KHM,1987,163469000.0
country/KHM,1993,1636561345.1
country/KHM,1996,1846998619.6
country/KHM,1997,1865737649.5
country/KHM,2002,2274087347.9
country/KHM,2003,2555199087.2
country/KHM,2004,2769175513.5
country/KHM,2011,3462634145.2
country/KHM,2012,4287466881.0
country/KHM,2015,5637997887.8
country/KHM,2019,7561896634.2
country/KHM,2020,8764209711.1
country/CMR,1972,201456202.0
country/CMR,1973,243649254.3
country/CMR,1974,282337178.2
country/CMR,1976,533645051.3
country/CMR,1985,2206660088.4
country/CMR,1990,5275534911.1
country/CMR,1991,5497107003.6
country/CMR,1992,6403594934.3
