dcid,year,climateFinanceReceivedDisbursementsOdaGrantsCurrentUSD
country/GHA,2018,83119738.6
country/GHA,2019,68192666.4
country/GHA,2020,90121861.0
country/GHA,2021,66622817.006617375
country/GRD,2013,1541610.0
country/GRD,2014,2509240.2
country/GRD,2015,2196014.4
country/GRD,2016,2798784.4000000004
country/GRD,2017,1214494.2
country/GRD,2018,1026699.0
country/GRD,2019,1156323.6
country/GRD,2020,511774.4
country/GRD,2021,2423921.6
country/GTM,2013,23430884.6
country/GTM,2014,25042924.28
country/GTM,2015,23660238.2
country/GTM,2016,59460588.6
country/GTM,2017,51224459.2
country/GTM,2018,45842837.2
country/GTM,2019,43144392.6
country/GTM,2020,37201052.8
country/GTM,2021,48174406.6
country/GIN,2013,4537016.2
country/GIN,2014,1259116.4000000001
country/GIN,2015,1833389.2
country/GIN,2016,5284782.0
country/GIN,2017,7492793.0
country/GIN,2018,14876118.670000002
country/GIN,2019,27481354.45633
country/GIN,2020,12315546.482447244
country/GIN,2021,41490426.4378
country/GNB,2013,2976592.8000000003
country/GNB,2014,2666881.4000000004
country/GNB,2015,3527514.6
country/GNB,2016,4642211.475199163
country/GNB,2017,5352669.8
country/GNB,2018,9295728.436765552
country/GNB,2019,4734494.667808913
country/GNB,2020,6018783.428612622
country/GNB,2021,8741280.687050786
country/GUY,2013,2721957.0
country/GUY,2014,100608801.22
country/GUY,2015,6499057.0
country/GUY,2016,15154372.65
country/GUY,2017,13787187.4
country/GUY,2018,20238913.2
country/GUY,2019,50892275.41651528
country/GUY,2020,22649678.232906908
country/GUY,2021,16319720.884093093
country/HTI,2013,40378875.2
country/HTI,2014,28119584.400000002
country/HTI,2015,32365538.3
country/HTI,2016,51208953.1
country/HTI,2017,59914791.74
country/HTI,2018,76218771.28
country/HTI,2019,70217945.96440001
country/HTI,2020,88994362.5112
country/HTI,2021,115972393.0072
country/HND,2013,27124275.6
country/HND,2014,21827474.8
country/HND,2015,31390010.2
country/HND,2016,51131308.4
country/HND,2017,32046005.0
country/HND,2018,55291398.4
country/HND,2019,44525204.4
country/HND,2020,40288855.76071967
country/HND,2021,42816206.10944802
country/IND,2013,84267527.2
country/IND,2014,87202904.0
country/IND,2015,83426171.0
country/IND,2016,89341256.99
country/IND,2017,106509998.2
country/IND,2018,103181466.4
country/IND,2019,93193774.4503694
country/IND,2020,120768970.6754112
country/IND,2021,119952276.36245817
country/IDN,2013,182165416.6
country/IDN,2014,179086663.6
country/IDN,2015,157933688.4
country/IDN,2016,197842402.74
country/IDN,2017,184550663.4
country/IDN,2018,189427573.2
country/IDN,2019,170700840.40027002
country/IDN,2020,189488357.8
country/IDN,2021,292541699.79893845
country/IRN,2013,1034007.2
country/IRN,2014,1563729.2
country/IRN,2015,2363240.4
country/IRN,2016,2386699.6
country/IRN,2017,2179563.6
country/IRN,2018,3178231.1999999997
country/IRN,2019,7601890.2119
country/IRN,2020,10075090.8
country/IRN,2021,8321678.4
country/IRQ,2013,5728503.0
country/IRQ,2014,3318588.4000000004
country/IRQ,2015,3391577.2
country/IRQ,2016,7103832.800000001
country/IRQ,2017,8479558.200000001
country/IRQ,2018,18612688.200000003
country/IRQ,2019,21712055.6
country/IRQ,2020,42170674.0
country/IRQ,2021,108770332.0
country/JAM,2013,5156053.4
country/JAM,2014,14384525.84
country/JAM,2015,8517637.0
country/JAM,2016,7145266.0
country/JAM,2017,7906722.052
country/JAM,2018,8823144.2
country/JAM,2019,4387042.600000001
country/JAM,2020,9241567.972000001
country/JAM,2021,8037625.224
country/JOR,2013,14871084.0
country/JOR,2014,19686926.0
country/JOR,2015,27764900.2
country/JOR,2016,102175982.6
country/JOR,2017,113602469.8
country/JOR,2018,110272207.2
country/JOR,2019,111083248.4042
country/JOR,2020,72040014.0
country/JOR,2021,76647344.8
country/KAZ,2013,3803871.4
country/KAZ,2014,6411106.6
country/KAZ,2015,4882800.600000001
country/KAZ,2016,6780986.6
country/KAZ,2017,5536242.0
country/KAZ,2018,3356477.0
country/KAZ,2019,3473054.20269
country/KAZ,2020,4580856.15
country/KAZ,2021,5975144.4
country/KEN,2013,108609419.4
country/KEN,2014,125419962.0
country/KEN,2015,170098258.0
country/KEN,2016,160777335.6
country/KEN,2017,163559374.5939491
country/KEN,2018,141801849.6
country/KEN,2019,146910717.8489532
country/KEN,2020,127464912.6112153
country/KEN,2021,104751040.68290254
country/KIR,2013,6978288.2
country/KIR,2014,3701357.2
country/KIR,2015,5615665.2
country/KIR,2016,5583220.0
country/KIR,2017,6472733.1
country/KIR,2018,15423539.1941879
country/KIR,2019,13349809.112232592
country/KIR,2020,7154098.114774156
country/KIR,2021,14852377.658000002
country/XKX,2013,6472899.800000001
country/XKX,2014,13170444.8
country/XKX,2015,5217501.4
country/XKX,2016,9476699.8
country/XKX,2017,10237255.4
country/XKX,2018,12709826.4
country/XKX,2019,16314625.0
country/XKX,2020,24184905.6
country/XKX,2021,23146471.2
country/KGZ,2013,4806456.0
country/KGZ,2014,3859141.0
country/KGZ,2015,8597514.46
country/KGZ,2016,18360096.2
country/KGZ,2017,14978230.861
country/KGZ,2018,13080831.145
country/KGZ,2019,20527655.2939
country/KGZ,2020,26655996.1392
country/KGZ,2021,40235373.4995
country/LAO,2013,18499932.6
country/LAO,2014,33595409.74
country/LAO,2015,23828647.42
country/LAO,2016,23175076.07
country/LAO,2017,27962859.952146266
country/LAO,2018,34848126.6395
country/LAO,2019,27771405.67394647
country/LAO,2020,50924798.25620204
country/LAO,2021,48582301.21326735
country/LBN,2013,1836827.4
country/LBN,2014,6388795.8
country/LBN,2015,5980418.4
country/LBN,2016,12334105.200000001
country/LBN,2017,18450793.6
country/LBN,2018,21300056.400000002
country/LBN,2019,16705949.999410002
country/LBN,2020,37041749.6
country/LBN,2021,29931681.8
country/LSO,2013,1112545.2000000002
country/LSO,2014,338827.0
country/LSO,2015,404303.4
country/LSO,2016,3581297.4
country/LSO,2017,1110941.0
country/LSO,2018,1531085.6
country/LSO,2019,4630275.4
country/LSO,2020,10371090.4
country/LSO,2021,13086591.2
country/LBR,2013,39836122.2
country/LBR,2014,47124801.0
country/LBR,2015,35420060.6
country/LBR,2016,62486997.4
country/LBR,2017,52364283.6
country/LBR,2018,22374876.580000002
country/LBR,2019,45075455.339999996
country/LBR,2020,64859443.83825001
country/LBR,2021,51465566.92985622
country/LBY,2013,600000.0
country/LBY,2014,25380.0
country/LBY,2015,236323.2
country/LBY,2016,53060.00000000001
country/LBY,2017,6442.2
country/LBY,2019,681.2
country/LBY,2020,5489206.4
country/LBY,2021,4528154.4
country/MDG,2013,19129847.8
country/MDG,2014,21380007.2
country/MDG,2015,16592852.0
country/MDG,2016,51788568.9
country/MDG,2017,39485915.5
country/MDG,2018,63068191.5044
country/MDG,2019,67912186.62769789
country/MDG,2020,63712628.79680992
country/MDG,2021,86634299.81096926
country/MWI,2013,48895104.4
country/MWI,2014,60479285.800000004
country/MWI,2015,53406000.2
country/MWI,2016,80993103.0
country/MWI,2017,58200680.2
country/MWI,2018,94882869.8353
country/MWI,2019,171777542.77277657
country/MWI,2020,90211466.7114
country/MWI,2021,62171135.83149317
country/MYS,2013,3289039.4
country/MYS,2014,4159791.4
country/MYS,2015,2961374.6
country/MYS,2016,4173566.8000000003
country/MYS,2017,3038811.8
country/MYS,2018,1812549.6
country/MYS,2019,4913703.0012300005
country/MYS,2020,4827591.2
country/MYS,2021,7224083.0
country/MDV,2013,2319263.2
country/MDV,2014,3133507.2
country/MDV,2015,2974609.8000000003
country/MDV,2016,9601362.6
country/MDV,2017,18548746.0304
country/MDV,2018,14331258.424
country/MDV,2019,12848973.258
country/MDV,2020,8700082.921600001
country/MDV,2021,8796705.414800001
country/MLI,2013,50080789.800000004
country/MLI,2014,85115096.12
country/MLI,2015,54001057.160000004
country/MLI,2016,96043638.84
country/MLI,2017,82322317.2
country/MLI,2018,127485260.34099188
country/MLI,2019,107590729.70215885
country/MLI,2020,97145280.17897049
country/MLI,2021,143245641.92635176
country/MHL,2013,1696065.8
country/MHL,2014,745764.4
country/MHL,2015,4143981.6
country/MHL,2016,1245540.8
country/MHL,2017,528428.6
country/MHL,2018,5703224.22162875
country/MHL,2019,8322115.3991297
country/MHL,2020,9998499.162108473
country/MHL,2021,11385368.20316854
country/MRT,2013,12600684.135687117
country/MRT,2014,13271087.6
country/MRT,2015,7975325.5600000005
country/MRT,2016,14970277.32
country/MRT,2017,7389693.8
country/MRT,2018,21000930.41
country/MRT,2019,28779054.3148
country/MRT,2020,58203518.6422
country/MRT,2021,35144035.84144902
country/MUS,2013,2133197.6
country/MUS,2014,3274826.4
country/MUS,2015,3537521.8
country/MUS,2016,3500972.0
country/MUS,2017,2306210.6
country/MUS,2018,8286907.2
country/MUS,2019,8039483.8
country/MUS,2020,5093187.0
country/MUS,2021,7556920.2
country/MEX,2013,20453982.3
country/MEX,2014,31979200.95
country/MEX,2015,21983219.264188666
country/MEX,2016,36657940.87
country/MEX,2017,36620212.6
country/MEX,2018,41773922.199999996
country/MEX,2019,22086382.934025317
country/MEX,2020,27089832.88710622
country/MEX,2021,40709614.541811846
country/FSM,2013,1844830.4000000001
country/FSM,2014,1124973.6
country/FSM,2015,3378045.54
country/FSM,2016,5393163.82
country/FSM,2017,2767220.2
country/FSM,2018,3922380.4
country/FSM,2019,6043274.8
country/FSM,2020,10413888.872
country/FSM,2021,7716955.649
country/MDA,2013,16599415.4
country/MDA,2014,16097829.600000001
country/MDA,2015,9139905.8
country/MDA,2016,7107859.8
country/MDA,2017,9830986.600000001
country/MDA,2018,7021125.2
country/MDA,2019,14395822.8
country/MDA,2020,12695425.200000001
country/MDA,2021,53407073.2
country/MNG,2013,23367816.400000002
country/MNG,2014,14091986.4
country/MNG,2015,10501104.97371203
country/MNG,2016,11139125.83
country/MNG,2017,10041515.6
country/MNG,2018,15197702.4
country/MNG,2019,13677984.881918153
country/MNG,2020,21826948.35440488
country/MNG,2021,33267279.41280643
country/MNE,2013,5889290.600000001
country/MNE,2014,1813566.0
country/MNE,2015,1320421.4
country/MNE,2016,2565092.6
country/MNE,2017,6361747.600000001
country/MNE,2018,11576441.399999999
country/MNE,2019,5283425.8
country/MNE,2020,6908345.6
country/MNE,2021,7432840.800000001
country/MSR,2015,780528.0000000001
country/MSR,2016,2937901.6
country/MSR,2017,674129.6000000001
country/MSR,2018,2776066.0000000005
country/MSR,2019,1907348.8
country/MSR,2020,2324332.8
country/MSR,2021,1533811.0
country/MAR,2013,63048459.4
country/MAR,2014,44599902.0
country/MAR,2015,46293795.400000006
country/MAR,2016,65396918.440000005
country/MAR,2017,52684138.4
country/MAR,2018,51422566.4
country/MAR,2019,35600486.0
country/MAR,2020,53267186.49325193
country/MAR,2021,41029012.10371847
country/MOZ,2013,90162326.60000001
country/MOZ,2014,80757274.0
country/MOZ,2015,105574066.17
country/MOZ,2016,105375539.14
country/MOZ,2017,111740110.4
country/MOZ,2018,103574123.8987
country/MOZ,2019,162884562.65237233
country/MOZ,2020,187203494.85690543
country/MOZ,2021,254285096.88724512
country/MMR,2013,46704983.800000004
country/MMR,2014,38449898.800000004
country/MMR,2015,47123390.400000006
country/MMR,2016,62248349.0
country/MMR,2017,70713738.2
country/MMR,2018,71010753.8
country/MMR,2019,68701594.49428804
country/MMR,2020,98907096.10780615
country/MMR,2021,51715754.05007671
country/NAM,2013,6957415.0
country/NAM,2014,8257313.8
country/NAM,2015,6735533.0
country/NAM,2016,13751534.8
country/NAM,2017,17862512.8
country/NAM,2018,21459986.4
country/NAM,2019,14667722.4
country/NAM,2020,14489334.6
country/NAM,2021,29360366.4
country/NRU,2013,1620178.4000000001
country/NRU,2014,619035.4
country/NRU,2015,2596900.62
country/NRU,2016,921391.805
country/NRU,2017,496486.9271
country/NRU,2018,2761173.36
country/NRU,2019,3827808.4000000004
country/NRU,2020,1179741.4000000001
country/NRU,2021,6224535.0
country/NPL,2013,68130076.0
country/NPL,2014,58291368.0
country/NPL,2015,57542065.987853184
country/NPL,2016,75449170.49333334
country/NPL,2017,89788287.66626666
country/NPL,2018,75969344.501
country/NPL,2019,72688468.29965748
country/NPL,2020,95649903.45990507
country/NPL,2021,72600889.76425229
country/NIC,2013,38124755.800000004
country/NIC,2014,26189359.0
country/NIC,2015,39778537.12
country/NIC,2016,43840393.15
country/NIC,2017,18715382.884800002
country/NIC,2018,21842453.0
country/NIC,2019,22749395.318
country/NIC,2020,29577535.5473
country/NIC,2021,36610148.998500004
country/NER,2013,32421267.43
country/NER,2014,31782781.66
country/NER,2015,28756503.64
country/NER,2016,59480357.019999996
country/NER,2017,62391847.12
country/NER,2018,97023219.7134
country/NER,2019,130197148.8926
country/NER,2020,123417132.99296878
country/NER,2021,114523553.99532124
country/NGA,2013,34935284.6
country/NGA,2014,25713689.8
country/NGA,2015,64027035.4
country/NGA,2016,78148168.2
country/NGA,2017,110823034.6
country/NGA,2018,57326497.800000004
country/NGA,2019,60221070.2
country/NGA,2020,73241000.6
country/NGA,2021,71579692.60000001
country/NIU,2013,2153960.2
country/NIU,2014,746516.4
country/NIU,2015,3893240.1999999997
country/NIU,2016,467286.00000000006
country/NIU,2017,1088574.0
country/NIU,2018,2474546.5999999996
country/NIU,2019,2100863.6
country/NIU,2020,1102002.4
country/NIU,2021,1431007.2
country/MKD,2013,4943151.863220009
country/MKD,2014,10508360.200000001
country/MKD,2015,9713805.400000002
country/MKD,2016,10152169.600000001
country/MKD,2017,21239437.2
country/MKD,2018,32728673.8
country/MKD,2019,12826822.0
country/MKD,2020,18046302.8
country/MKD,2021,31041724.2
