dcid,sentence
Count_MortalityEvent_Diabetes,Number of Deaths from Diabetes
Count_MortalityEvent_Diabetes_Female,Number of female Deaths from Diabetes
Count_MortalityEvent_HeartDiseaseExcludingHypertension,Number of Deaths from Heart Disease Excluding Hypertension
Count_MortalityEvent_IntentionalSelf-Harm(Suicide),Number of Intentional Self-Harm (Suicide) Deaths
Count_MortalityEvent_IntentionalSelf-Harm(Suicide)_Female,Number of Intentional Self-Harm (Suicide) Deaths in Females
Count_MortalityEvent_Suicide,Number of Suicide Deaths
Count_Person,total population
Count_Person_0To4Years_Female,Number of girls under 4 years old
Count_Person_0To4Years_Male,Number of boys under 4 years old
Count_Person_10OrMoreYears_Literate_AsAFractionOf_Count_Person_10OrMoreYears,Literacy Rate Among people Aged 10 Years and Older
Count_Person_10To14Years_Literate_AsAFractionOf_Count_Person_10To14Years,Literacy Rate Among people Aged 10 to 14 years
Count_Person_15OrMoreYears_Divorced_AmericanIndianAndAlaskaNativeAlone,number of Divorced American Indian And Alaska Native people
Count_Person_15OrMoreYears_Divorced_AsianAlone,number of Divorced Asian people
Count_Person_15OrMoreYears_Divorced_BlackOrAfricanAmericanAlone,number of Divorced Black or African American people
Count_Person_15OrMoreYears_Divorced_ForeignBorn,number of divorced Foreign Born people
Count_Person_15OrMoreYears_Divorced_HispanicOrLatino,number of divorced Hispanic or Latino people
Count_Person_15OrMoreYears_Divorced_Native,number of Divorced Native people
Count_Person_15OrMoreYears_Divorced_NativeHawaiianAndOtherPacificIslanderAlone,number of Divorced Native Hawaiian And Other Pacific Islander people
Count_Person_15OrMoreYears_Divorced_OneRace,number of Divorced people with single Race
Count_Person_15OrMoreYears_Divorced_TwoOrMoreRaces,number of divorced people with multi-races
Count_Person_15OrMoreYears_Divorced_WhiteAlone,number of Divorced White people
Count_Person_15OrMoreYears_Female_Smoking_AsFractionOf_Count_Person_15OrMoreYears_Female,prevalence of Female Smokers Aged 15 and Older
Count_Person_15OrMoreYears_InLaborForce_Female_AsFractionOf_Count_Person_InLaborForce,Female labor force participation rate
Count_Person_15OrMoreYears_Male_Smoking_AsFractionOf_Count_Person_15OrMoreYears_Male,prevalence of male Smokers Aged 15 and Older
Count_Person_15OrMoreYears_MarriedAndNotSeparated_AmericanIndianAndAlaskaNativeAlone,Number of married American Indian or Alaska Native people
Count_Person_15OrMoreYears_MarriedAndNotSeparated_AsianAlone,Number of married asian people
Count_Person_15OrMoreYears_MarriedAndNotSeparated_BlackOrAfricanAmericanAlone,Number of married Black or African American people
Count_Person_15OrMoreYears_MarriedAndNotSeparated_ForeignBorn,Number of married foreign born people
Count_Person_15OrMoreYears_MarriedAndNotSeparated_HispanicOrLatino,Number of married Hispanic or Latino people
Count_Person_15OrMoreYears_MarriedAndNotSeparated_Native,Number of married native people
Count_Person_15OrMoreYears_MarriedAndNotSeparated_NativeHawaiianAndOtherPacificIslanderAlone,Number of married Native Hawaiian and Other Pacific Islander people
Count_Person_15OrMoreYears_MarriedAndNotSeparated_OneRace,Number of married people of one race
Count_Person_15OrMoreYears_MarriedAndNotSeparated_TwoOrMoreRaces,Number of married people of two or more races
Count_Person_15OrMoreYears_MarriedAndNotSeparated_WhiteAlone,Number of married white people
Count_Person_15OrMoreYears_NeverMarried_AmericanIndianAndAlaskaNativeAlone,Number of never married American Indian or Alaska Native people
Count_Person_15OrMoreYears_NeverMarried_AsianAlone,Number of never married asian people
Count_Person_15OrMoreYears_NeverMarried_BlackOrAfricanAmericanAlone,Number of never married Black or African American people
Count_Person_15OrMoreYears_NeverMarried_ForeignBorn,Number of never married foreign born people
Count_Person_15OrMoreYears_NeverMarried_HispanicOrLatino,Number of never married Hispanic or Latino people
Count_Person_15OrMoreYears_NeverMarried_Native,Number of never married native people
Count_Person_15OrMoreYears_NeverMarried_NativeHawaiianAndOtherPacificIslanderAlone,Number of never married Native Hawaiian and Other Pacific Islander people
Count_Person_15OrMoreYears_NeverMarried_OneRace,Number of never married single-race people
Count_Person_15OrMoreYears_NeverMarried_TwoOrMoreRaces,Number of married people of multi-races
Count_Person_15OrMoreYears_NeverMarried_WhiteAlone,Number of never married white people
Count_Person_15OrMoreYears_NeverMarried_WhiteAloneNotHispanicOrLatino,Number of never married Black or African American people
Count_Person_15OrMoreYears_NoIncome,number of working age people with no income
Count_Person_15OrMoreYears_Separated_AmericanIndianAndAlaskaNativeAlone,Number of separated American Indian or Alaska Native people
Count_Person_15OrMoreYears_Separated_AsianAlone,Number of separated asian people
Count_Person_15OrMoreYears_Separated_BlackOrAfricanAmericanAlone,Number of separated Black or African American people
Count_Person_15OrMoreYears_Separated_ForeignBorn,Number of separated Foreign Born people
Count_Person_15OrMoreYears_Separated_HispanicOrLatino,Number of separated Hispanic or Latino people
Count_Person_15OrMoreYears_Separated_Native,Number of separated Native people
Count_Person_15OrMoreYears_Separated_NativeHawaiianAndOtherPacificIslanderAlone,Number of separated Native Hawaiian and Other Pacific Islander people
Count_Person_15OrMoreYears_Separated_OneRace,Number of separated One Race people
Count_Person_15OrMoreYears_Separated_TwoOrMoreRaces,Number of separated Two Or More Races people
Count_Person_15OrMoreYears_Separated_WhiteAlone,Number of separated white people
Count_Person_15OrMoreYears_Smoking_AsFractionOf_Count_Person_15OrMoreYears,prevalence of Smokers Aged 15 and Older
Count_Person_15OrMoreYears_Widowed_AmericanIndianAndAlaskaNativeAlone,Number of widowed American Indian or Alaska Native people
Count_Person_15OrMoreYears_Widowed_AsianAlone,Number of widowed asian people
Count_Person_15OrMoreYears_Widowed_BlackOrAfricanAmericanAlone,Number of widowed Black or African American people
Count_Person_15OrMoreYears_Widowed_ForeignBorn,Number of widowed foreign born people
Count_Person_15OrMoreYears_Widowed_HispanicOrLatino,Number of widowed Hispanic or Latino people
Count_Person_15OrMoreYears_Widowed_Native,Number of widowed native born people
Count_Person_15OrMoreYears_Widowed_NativeHawaiianAndOtherPacificIslanderAlone,Number of widowed Native Hawaiian and Other Pacific Islander people
Count_Person_15OrMoreYears_Widowed_OneRace,Number of widowed one race people
Count_Person_15OrMoreYears_Widowed_TwoOrMoreRaces,Number of widowed multi race people
Count_Person_15OrMoreYears_Widowed_WhiteAlone,Number of widowed white people
Count_Person_15OrMoreYears_WithIncome,Number of people who earn income
Count_Person_15To19Years_BirthInThePast12Months_Female_AsAFractionOf_Count_Person_15To19Years_Female,Percentage of Females Aged 15-19 Who Gave Birth in the Past 12 Months
Count_Person_15To19Years_Literate_AsAFractionOf_Count_Person_15To19Years,Percentage of Persons Aged 15-19 who are Literate
Count_Person_15To24Years_Illiterate_AsAFractionOf_Count_Person_15To24Years,Percentage of Persons Aged 15-24 who are Illiterate
Count_Person_15To50Years_BirthInThePast12Months_Female_AsAFractionOf_Count_Person_15To50Years_Female,Percentage of Females Aged 15-50 Who Gave Birth in the Past 12 Months
Count_Person_15To64Years_Female_InLaborForce_AsFractionOf_Count_Person_15To64Years_Female,Female labor force participation rate
Count_Person_15To64Years_InLaborForce_AsFractionOf_Count_Person_15To64Years,Labor force participation rate
Count_Person_15To64Years_Male_InLaborForce_AsFractionOf_Count_Person_15To64Years_Male,Male labor force participation rate
Count_Person_16OrMoreYears_Female_WithEarnings,Number of Females with Earnings
Count_Person_16OrMoreYears_Male_WithEarnings,Number of Males with Earnings
Count_Person_16OrMoreYears_NoHealthInsurance_IncomeOf15000To24999USDollar_WithEarnings,"number of people Earning Between $15,000 and $25000 Without Health Insurance"
Count_Person_16OrMoreYears_NoHealthInsurance_IncomeOf25000To34999USDollar_WithEarnings,"number of people Earning Between $25,000 and $35000 Without Health Insurance"
Count_Person_16OrMoreYears_NoHealthInsurance_IncomeOf35000To49999USDollar_WithEarnings,"number of people Earning Between $35,000 and $50000 Without Health Insurance"
Count_Person_16OrMoreYears_NoHealthInsurance_IncomeOf4999OrLessUSDollar_WithEarnings,number of people Earning less than $5000 and Without Health Insurance
Count_Person_16OrMoreYears_NoHealthInsurance_IncomeOf50000To74999USDollar_WithEarnings,"number of people Earning Between $50,000 and $75000 Without Health Insurance"
Count_Person_16OrMoreYears_NoHealthInsurance_IncomeOf5000To14999USDollar_WithEarnings,"number of people Earning $5,000 to $15000 Without Health Insurance"
Count_Person_16OrMoreYears_NoHealthInsurance_IncomeOf75000OrMoreUSDollar_WithEarnings,"number of people Earning $75,000 or more Without Health Insurance"
Count_Person_16OrMoreYears_WithEarnings,Number of people with earnings
Count_Person_16To50Years_BirthInThePast12Months_Female_AsAFractionOf_Count_Person_16To50Years_Female,Percentage of females aged 16-50 who gave birth in the past 12 months
Count_Person_18OrLessYears_Female_ResidesInCollegeOrUniversityStudentHousing,Number of females aged 18 or less who reside in college or university student housing
Count_Person_18OrLessYears_Male_ResidesInCollegeOrUniversityStudentHousing,Number of males aged 18 or less who reside in college or university student housing
Count_Person_18OrMoreYears_Civilian,Number of civilians aged 18 or more
Count_Person_18OrMoreYears_Civilian_ResidesInAdultCorrectionalFacilities,Number of civilians aged 18 or more who reside in adult correctional facilities
Count_Person_18OrMoreYears_Civilian_ResidesInCollegeOrUniversityStudentHousing,Number of civilians aged 18 or more who reside in college or university student housing
Count_Person_18OrMoreYears_Civilian_ResidesInGroupQuarters,Number of civilians aged 18 or more who reside in group quarters
Count_Person_18OrMoreYears_Civilian_ResidesInInstitutionalizedGroupQuarters,Number of civilians aged 18 or more who reside in institutionalized group quarters
Count_Person_18OrMoreYears_Civilian_ResidesInNoninstitutionalizedGroupQuarters,Number of civilians aged 18 or more who reside in noninstitutionalized group quarters
Count_Person_18OrMoreYears_Civilian_ResidesInNursingFacilities,Number of Civilian people Aged 18 or More Resides In Nursing Facilities
Count_Person_1OrMoreYears_DifferentHouse1YearAgo,Number of people older than 1 and moved home in the last year
Count_Person_1OrMoreYears_RenterOccupied_ResidesInHousingUnit,Number of people older than 1 and live in Renter Occupied Housing Units
Count_Person_1OrMoreYears_ResidesInHousingUnit,Number of people older than 1 and reside in a Housing Unit
Count_Person_25OrMoreYears_BachelorsDegreeOrHigher_AsFractionOf_Count_Person_25OrMoreYears,Percentage of people with a Bachelor's or higher Degree
Count_Person_25OrMoreYears_DoctorateDegree_AsFractionOf_Count_Person_25OrMoreYears,Percentage of people with a Doctorate Degree
Count_Person_25OrMoreYears_EducationalAttainment10ThGrade_Female,Number of Females with Educational Attainment of 10th Grade
Count_Person_25OrMoreYears_EducationalAttainment10ThGrade_Male,Number of Males with Educational Attainment of 10th Grade
Count_Person_25OrMoreYears_EducationalAttainment11ThGrade_Female,Number of Females with Educational Attainment of 11th Grade
Count_Person_25OrMoreYears_EducationalAttainment11ThGrade_Male,Number of Males with Educational Attainment of 11th Grade
Count_Person_25OrMoreYears_EducationalAttainment12ThGradeNoDiploma_Female,Number of Females with Educational Attainment of 12th Grade without Diploma
Count_Person_25OrMoreYears_EducationalAttainment12ThGradeNoDiploma_Male,Number of Males with Educational Attainment of 12th Grade without Diploma
Count_Person_25OrMoreYears_EducationalAttainment9ThGrade_Female,Number of Females with Educational Attainment of 9th Grade
Count_Person_25OrMoreYears_EducationalAttainment9ThGrade_Male,Number of Males with Educational Attainment of 9th Grade
Count_Person_25OrMoreYears_EducationalAttainmentAssociatesDegree_Female,Number of Females with Educational Attainment of Associate's Degree
Count_Person_25OrMoreYears_EducationalAttainmentAssociatesDegree_Male,Number of Males with Educational Attainment of Associate's Degree
Count_Person_25OrMoreYears_EducationalAttainmentBachelorsDegree_Female,Number of females have their bachelors degree
Count_Person_25OrMoreYears_EducationalAttainmentBachelorsDegree_Male,Number of males have their bachelors degree
Count_Person_25OrMoreYears_EducationalAttainmentBachelorsDegreeOrHigher_Female,Number of Females with a Bachelors or Higher Degree
Count_Person_25OrMoreYears_EducationalAttainmentBachelorsDegreeOrHigher_Male,Number of Males with a Bachelors Degree or Higher
Count_Person_25OrMoreYears_EducationalAttainmentDoctorateDegree_Female,Number of Females with a Doctorate Degree
Count_Person_25OrMoreYears_EducationalAttainmentDoctorateDegree_Male,Number of Males with a Doctorate Degree
Count_Person_25OrMoreYears_EducationalAttainmentMastersDegree_Female,Number of Females with a Masters Degree
Count_Person_25OrMoreYears_EducationalAttainmentMastersDegree_Male,Number of Males with a Masters Degree
Count_Person_25OrMoreYears_EducationalAttainmentNoSchoolingCompleted_Female,Number of Females with No Schooling Completed
Count_Person_25OrMoreYears_EducationalAttainmentNoSchoolingCompleted_Male,Number of Males with No Schooling Completed
Count_Person_25OrMoreYears_EducationalAttainmentNurseryTo4ThGrade_Female,Number of Females with Educational Attainment from Nursery to 4th Grade
Count_Person_25OrMoreYears_EducationalAttainmentNurseryTo4ThGrade_Male,Number of Males with Educational Attainment from Nursery to 4th Grade
Count_Person_25OrMoreYears_EducationalAttainmentProfessionalSchoolDegree_Female,Number of Females with a Professional School Degree
Count_Person_25OrMoreYears_EducationalAttainmentProfessionalSchoolDegree_Male,Number of Males with a Professional School Degree
Count_Person_25OrMoreYears_EducationalAttainmentSomeCollege1OrMoreYearsNoDegree_Female,Number of Females with Some College Education for 1 or More Years with No Degree
Count_Person_25OrMoreYears_EducationalAttainmentSomeCollege1OrMoreYearsNoDegree_Male,Number of Males with Some College Education for 1 or More Years with No Degree
Count_Person_25OrMoreYears_EducationalAttainmentSomeCollegeLessThan1Year_Female,Number of Females with Some College Education for Less than 1 Year
Count_Person_25OrMoreYears_EducationalAttainmentSomeCollegeLessThan1Year_Male,Number of Males with Some College Education for Less than 1 Year
Count_Person_25OrMoreYears_Female_BachelorsDegreeOrHigher_AsFractionOf_Count_Person_25OrMoreYears_Female,Percentage of Females with a Bachelors Degree or Higher Educational Attainment
Count_Person_25OrMoreYears_Female_DoctorateDegree_AsFractionOf_Count_Person_25OrMoreYears_Female,Percentage of Females with a Doctorate Degree
Count_Person_25OrMoreYears_Female_MastersDegreeOrHigher_AsFractionOf_Count_Person_25OrMoreYears_Female,Percentage of Females with a Masters Degree or Higher
Count_Person_25OrMoreYears_Female_TertiaryEducation_AsFractionOf_Count_Person_25OrMoreYears_Female,Percentage of Females with a Tertiary Education
Count_Person_25OrMoreYears_Male_BachelorsDegreeOrHigher_AsFractionOf_Count_Person_25OrMoreYears_Male,Percentage of Males with a Bachelors Degree or Higher
Count_Person_25OrMoreYears_Male_DoctorateDegree_AsFractionOf_Count_Person_25OrMoreYears_Male,Percentage of Males Who Have a Doctorate Degree
Count_Person_25OrMoreYears_Male_MastersDegreeOrHigher_AsFractionOf_Count_Person_25OrMoreYears_Male,Percentage of Males Who Have a Masters Degree or Higher
Count_Person_25OrMoreYears_Male_TertiaryEducation_AsFractionOf_Count_Person_25OrMoreYears_Male,Percentage of Males Who Have a Tertiary Education
Count_Person_25OrMoreYears_MastersDegreeOrHigher_AsFractionOf_Count_Person_25OrMoreYears,Percentage of people Who Have a Masters Degree or Higher
Count_Person_25OrMoreYears_TertiaryEducation_AsFractionOf_Count_Person_25OrMoreYears,Percentage of people Who Have a Tertiary Education
Count_Person_25To59Years_Illiterate_AsAFractionOf_Count_Person_25To59Years,Percentage of people Aged 25 to 59 Who are Illiterate
Count_Person_25To64Years_EnrolledInEducationOrTraining_AsAFractionOfCount_Person_25To64Years,Percentage of people aged 25 to 64 who are enrolled in education or training
Count_Person_25To64Years_EnrolledInEducationOrTraining_Female_AsAFractionOfCount_Person_25To64Years_Female,Percentage of females aged 25 to 64 who are enrolled in education or training
Count_Person_25To64Years_EnrolledInEducationOrTraining_Male_AsAFractionOfCount_Person_25To64Years_Male,Percentage of males aged 25 to 64 who are enrolled in education or training
Count_Person_25To64Years_TertiaryEducation_AsAFractionOfCount_Person_25To64Years,Percentage of people aged 25 to 64 who have tertiary education
Count_Person_25To64Years_TertiaryEducation_Female_AsAFractionOfCount_Person_25To64Years_Female,Percentage of females aged 25 to 64 who have tertiary education
Count_Person_25To64Years_TertiaryEducation_Male_AsAFractionOfCount_Person_25To64Years_Male,Percentage of males aged 25 to 64 who have tertiary education
Count_Person_25To64Years_UpperSecondaryEducationOrHigher_AsAFractionOfCount_Person_25To64Years,Percentage of people aged 25 to 64 who have upper secondary education or higher
Count_Person_25To64Years_UpperSecondaryEducationOrHigher_Female_AsAFractionOfCount_Person_25To64Years_Female,Percentage of females aged 25 to 64 who have upper secondary education or higher
Count_Person_25To64Years_UpperSecondaryEducationOrHigher_Male_AsAFractionOfCount_Person_25To64Years_Male,Percentage of males aged 25 to 64 who have upper secondary education or higher
Count_Person_35To50Years_BirthInThePast12Months_Female_AsAFractionOf_Count_Person_35To50Years_Female,Percentage of females aged 35 to 50 who have given birth in the past 12 months
Count_Person_3OrMoreYears_Female_EnrolledInSchool,number of females who are enrolled in school
Count_Person_3OrMoreYears_Male_EnrolledInSchool,number of males who are actively enrolled in any educational institution
Count_Person_5OrMoreYears_AfricanLanguagesSpokenAtHome,number of people who speak an African language at home
Count_Person_5OrMoreYears_AmharicSomaliOrOtherAfroAsiaticLanguagesSpokenAtHome,number of people who speak an Amharic Somali or other Afro-Asiatic language at home
Count_Person_5OrMoreYears_ArabicSpokenAtHome,number of people who speak Arabic at home
Count_Person_5OrMoreYears_ArmenianSpokenAtHome,number of people who speak Armenian at home
Count_Person_5OrMoreYears_BengaliSpokenAtHome,number of people who speak Bengali at home
Count_Person_5OrMoreYears_ChineseInclMandarinCantoneseSpokenAtHome,"number of people who speak any Chinese, Mandarin, or Cantonese language at home"
Count_Person_5OrMoreYears_ChineseSpokenAtHome,number of people who speak Chinese at home
Count_Person_5OrMoreYears_ForeignBorn,number of people who are foreign born
Count_Person_5OrMoreYears_FrenchCreoleSpokenAtHome,number of people who speak French Creole at home
Count_Person_5OrMoreYears_FrenchInclCajunSpokenAtHome,number of people who speak French (including Cajun) at home
Count_Person_5OrMoreYears_FrenchInclPatoisCajunSpokenAtHome,number of people who speak French (including Patois Cajun) at home
Count_Person_5OrMoreYears_GermanSpokenAtHome,number of people who speak German at home
Count_Person_5OrMoreYears_GreekSpokenAtHome,number of people who speak Greek at home
Count_Person_5OrMoreYears_GujaratiSpokenAtHome,number of people who speak Gujarati at home
Count_Person_5OrMoreYears_HaitianSpokenAtHome,number of people who speak Haitian at home
Count_Person_5OrMoreYears_HebrewSpokenAtHome,number of people who speak Hebrew at home
Count_Person_5OrMoreYears_HindiSpokenAtHome,number of people who speak Hindi at home
Count_Person_5OrMoreYears_HmongSpokenAtHome,number of people who speak Hmong at home
Count_Person_5OrMoreYears_HungarianSpokenAtHome,number of people who speak Hungarian at home
Count_Person_5OrMoreYears_IlocanoSamoanHawaiianOrOtherAustronesianLanguagesSpokenAtHome,number of people who speak an Ilocano Samoan Hawaiian or other Austronesian language at home
Count_Person_5OrMoreYears_ItalianSpokenAtHome,number of people who speak Italian at home
Count_Person_5OrMoreYears_JapaneseSpokenAtHome,number of people who speak Japanese at home
Count_Person_5OrMoreYears_KhmerSpokenAtHome,number of people who speak Khmer at home
Count_Person_5OrMoreYears_KoreanSpokenAtHome,number of people who speak Korean at home
Count_Person_5OrMoreYears_LanguageOtherThanEnglishSpokenAtHome,number of people who speak non-english language at home
Count_Person_5OrMoreYears_LaotianSpokenAtHome,number of people who speak Laotian at home
Count_Person_5OrMoreYears_MalayalamKannadaOrOtherDravidianLanguagesSpokenAtHome,"number of people who speak Malayalam, Kannada or other Dravidian languages at home"
Count_Person_5OrMoreYears_MonKhmerCambodianSpokenAtHome,number of people who speak Mon Khmer Cambodian at home
Count_Person_5OrMoreYears_NavajoSpokenAtHome,number of people who speak Navajo at home
Count_Person_5OrMoreYears_NepaliMarathiOrOtherIndicLanguagesSpokenAtHome,"number of people who speak Nepali, Marathi or other Indic languages at home"
Count_Person_5OrMoreYears_OnlyEnglishSpokenAtHome,number of people who speak only English at home
Count_Person_5OrMoreYears_PersianInclFarsiDariSpokenAtHome,number of people who speak Persian including Farsi and Dari at home
Count_Person_5OrMoreYears_PersianSpokenAtHome,number of people who speak Persian at home
Count_Person_5OrMoreYears_PolishSpokenAtHome,number of people who speak Polish at home
Count_Person_5OrMoreYears_PortugueseOrPortugueseCreoleSpokenAtHome,number of people who speak Portuguese or Portuguese Creole at home
Count_Person_5OrMoreYears_PortugueseSpokenAtHome,number of people who speak Portuguese at home
Count_Person_5OrMoreYears_PunjabiSpokenAtHome,number of people who speak Punjabi at home
Count_Person_5OrMoreYears_ResidesInHousehold,number of people who reside in a household
Count_Person_5OrMoreYears_RussianSpokenAtHome,number of people who speak Russian at home
Count_Person_5OrMoreYears_ScandinavianLanguagesSpokenAtHome,number of people who speak Scandinavian languages at home
Count_Person_5OrMoreYears_SerboCroatianSpokenAtHome,number of people who speak SerboCroatian at home
Count_Person_5OrMoreYears_SpanishSpokenAtHome,number of people who speak Spanish at home
Count_Person_5OrMoreYears_TagalogInclFilipinoSpokenAtHome,number of people who speak Tagalog including Filipino at home
Count_Person_5OrMoreYears_TagalogSpokenAtHome,number of people who speak Tagalog at home
Count_Person_5OrMoreYears_TamilSpokenAtHome,number of people who speak Tamil at home
Count_Person_5OrMoreYears_TeluguSpokenAtHome,number of people who speak Telugu at home
Count_Person_5OrMoreYears_ThaiLaoOrOtherTaiKadaiLanguagesSpokenAtHome,"number of people who speak Thai, Lao or other Tai Kadai languages at home"
Count_Person_5OrMoreYears_ThaiSpokenAtHome,number of people who speak Thai at home
Count_Person_5OrMoreYears_UkrainianOrOtherSlavicLanguagesSpokenAtHome,number of people who speak Ukranian or other slavic languages at home
Count_Person_5OrMoreYears_UrduSpokenAtHome,number of people who speak Urdu at home
Count_Person_5OrMoreYears_VietnameseSpokenAtHome,number of people who speak Vietnamese at home
Count_Person_5OrMoreYears_YiddishSpokenAtHome,number of people who speak Yiddish at home
Count_Person_60OrMoreYears_Illiterate_AsAFractionOf_Count_Person_60OrMoreYears,Percent of illiterate people older than 60
Count_Person_65OrMoreYears_Female_ResidesInNursingFacilities,number of females aged 65 Years or More and reside in Nursing Facilities
Count_Person_65OrMoreYears_Male_ResidesInNursingFacilities,number of males aged 65 Years or More and reside in Nursing Facilities
Count_Person_85OrMoreYears_Female,Number of females older than 85
Count_Person_85OrMoreYears_Male,Number of males older than 85
Count_Person_Aadhaar_Enrolled,Number of people enrolled for Aadhaar
Count_Person_AbovePovertyLevelInThePast12Months,Number of people living above the poverty level in the past 12 months
Count_Person_AbovePovertyLevelInThePast12Months_AmericanIndianOrAlaskaNativeAlone,Number of American Indian or Alaska Native people living above the poverty level in the past 12 months
Count_Person_AbovePovertyLevelInThePast12Months_AsianAlone,Number of asian people living above the poverty level in the past 12 months
Count_Person_AbovePovertyLevelInThePast12Months_BlackOrAfricanAmericanAlone,Number of Black or African American people living above the poverty level in the past 12 months
Count_Person_AbovePovertyLevelInThePast12Months_HispanicOrLatino,Number of Hispanic or Latino people living above the poverty level in the past 12 months
Count_Person_AbovePovertyLevelInThePast12Months_NativeHawaiianOrOtherPacificIslanderAlone,Number of Native Hawaiian or Other Pacific Islander people living above the poverty level in the past 12 months
Count_Person_AbovePovertyLevelInThePast12Months_TwoOrMoreRaces,Number of multi races people living above the poverty level in the past 12 months
Count_Person_AbovePovertyLevelInThePast12Months_WhiteAlone,Number of white people living above the poverty level in the past 12 months
Count_Person_AmbulatoryDifficulty,Number of people With Ambulatory Difficulty
Count_Person_AmericanIndianAndAlaskaNativeAlone,Number of American Indian or Alaska Native people
Count_Person_AmericanIndianOrAlaskaNativeAlone,Number of American Indian or Alaska Native people
Count_Person_AmericanIndianOrAlaskaNativeAlone_ResidesInCollegeOrUniversityStudentHousing,Number of American Indian or Alaska Native people who reside in college or university student housing
Count_Person_AmericanIndianOrAlaskaNativeAlone_ResidesInGroupQuarters,Number of American Indian or Alaska Native people who reside in group quarters
Count_Person_AmericanIndianOrAlaskaNativeAlone_ResidesInMilitaryQuartersOrMilitaryShips,Number of American Indian or Alaska Native people who reside in military quarters or military ships
Count_Person_AmericanIndianOrAlaskaNativeAlone_ResidesInNursingFacilities,Number of American Indian or Alaska Native people who reside in nursing facilities
Count_Person_AsianAlone,Number of asian people
Count_Person_AsianAlone_ResidesInCollegeOrUniversityStudentHousing,Number of asian people who reside in college or university student housing
Count_Person_AsianAlone_ResidesInGroupQuarters,Number of asian people who reside in group quarters
Count_Person_AsianAlone_ResidesInMilitaryQuartersOrMilitaryShips,Number of asian people who reside in military quarters or military ships
Count_Person_AsianAlone_ResidesInNursingFacilities,Number of asian people who reside in nursing facilities
Count_Person_AsianOrPacificIslander,Number of Asian or Pacific Islander people
Count_Person_BachelorOfArtsHumanitiesAndOtherMajor,"Number of people with a bachelor's degree or higher in Arts, Humanities, and Other Major"
Count_Person_BachelorOfBusinessMajor,Number of people with a bachelor's degree or higher in Business Major
Count_Person_BachelorOfEducationMajor,Number of people with a bachelor's degree or higher in Education Major
Count_Person_BachelorOfScienceAndEngineeringMajor,Number of people with a bachelor's degree or higher in Science and Engineering Major
Count_Person_BachelorOfScienceAndEngineeringRelatedMajor,Number of people with a bachelor's degree or higher in Science and Engineering Related Major
Count_Person_BelowPovertyLevelInThePast12Months,Number of people below poverty level in the past 12 months
Count_Person_BelowPovertyLevelInThePast12Months_AmericanIndianOrAlaskaNativeAlone,Number of American Indian or Alaska Native people below poverty level in the past 12 months
Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,Percentage of people below poverty level in the past 12 months
Count_Person_BelowPovertyLevelInThePast12Months_AsianAlone,Number of asian people below poverty level in the past 12 months
Count_Person_BelowPovertyLevelInThePast12Months_BlackOrAfricanAmericanAlone,Number of Black or African American people below poverty level in the past 12 months
Count_Person_BelowPovertyLevelInThePast12Months_HispanicOrLatino,Number of Hispanic or Latino people below poverty level in the past 12 months
Count_Person_BelowPovertyLevelInThePast12Months_NativeHawaiianOrOtherPacificIslanderAlone,Number of Native Hawaiian Or Other Pacific IslanderAlone people below poverty level in the past 12 months
Count_Person_BelowPovertyLevelInThePast12Months_TwoOrMoreRaces,Number of people of multi races below poverty level in the past 12 months
Count_Person_BelowPovertyLevelInThePast12Months_WhiteAlone,Number of white people below poverty level in the past 12 months
Count_Person_BlackOrAfricanAmericanAlone,Number of Black or African American people
Count_Person_BlackOrAfricanAmericanAlone_ResidesInCollegeOrUniversityStudentHousing,Number of Black or African American people who reside in College Or University Student Housing
Count_Person_BlackOrAfricanAmericanAlone_ResidesInGroupQuarters,Number of Black or African American people who reside in group quarters
Count_Person_BlackOrAfricanAmericanAlone_ResidesInMilitaryQuartersOrMilitaryShips,Number of Black or African American people who reside in military quarters or military ships
Count_Person_BlackOrAfricanAmericanAlone_ResidesInNursingFacilities,Number of Black or African American people who reside in nursing facilities
Count_Person_BornInOtherStateInTheUnitedStates,Number of people who were born in other state in the United States
Count_Person_BornInStateOfResidence,Number of people who were born in state of residence
Count_Person_Civilian_Employed,Number of employed civilian
Count_Person_Civilian_FamilyHousehold_NonInstitutionalized,Number of people in family household
Count_Person_Civilian_Female_NonInstitutionalized,Number of NonInstitutionalized females
Count_Person_Civilian_InLaborForce,Number of people in labor force
Count_Person_Civilian_Male_NonInstitutionalized,Number of NonInstitutionalized males
Count_Person_Civilian_MarriedCoupleFamilyHousehold_NonInstitutionalized,Number of people in married couple family household
Count_Person_Civilian_NoDisability_NonInstitutionalized,Number of NonInstitutionalized females without disability
Count_Person_Civilian_NonInstitutionalized,Number of NonInstitutionalized civilian
Count_Person_Civilian_NonInstitutionalized_AmericanIndianOrAlaskaNativeAlone,number of NonInstitutionalized American Indian or Alaska Native Civilian
Count_Person_Civilian_NonInstitutionalized_AsianAlone,number of NonInstitutionalized asian Civilian
Count_Person_Civilian_NonInstitutionalized_BlackOrAfricanAmericanAlone,number of NonInstitutionalized Black or African American Civilian
Count_Person_Civilian_NonInstitutionalized_ForeignBorn,number of NonInstitutionalized Foreign Born Civilian
